pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,start,theta,inst_num,inst,percent2_1_1,percent2_1_0,percent2_1,percent2_2_0,percent2_2,percent3_1_0,percent3_1,percent3_2_0,percent3_2,percent4_1_0,percent4_1,percent4_2_0,percent4_2,max,min,drop,boost.mine.size,boost.mine.time,fine-grained.mine.size,fine-grained.mine.time,prune.mine.size,prune.mine.time
space,22_-,5,0.05,1.0,0.0,577.0,309376.0,1312.0,1181.0,7272.0,9293.0,9186.0,136.0,528.0,7842.0,0.0,4796.0,1924848.0,87065.0,86845.0,457266.0,564999.0,79884.0,224784.0,280711.0,46814.0,62.0,0.0,4166.0,1752256.0,53280.0,53065.0,260370.0,324146.0,52015.0,0.0,0.175125,232192.0,0.507783215896218,3985.0,63842.0,0.7991838165339743,290532.0,0.5142168393218395,54246.0,0.6246300880879728,1752256.0,0.9103347381195814,54331.0,1.0052360864416814,5904.0,1.0102669404517455,62.0,62.0,False,26720.0,0.0,1185648.0,126000.0,1158192.0,113000.0
space,22_-,10,0.05,1.0,0.0,577.0,309376.0,1312.0,1181.0,7272.0,9293.0,9186.0,136.0,528.0,7842.0,0.0,4796.0,1924848.0,87065.0,86845.0,457266.0,564999.0,79884.0,224784.0,280711.0,49762.0,62.0,0.0,4170.0,1754320.0,52512.0,52276.0,260370.0,324146.0,52742.0,0.0,0.16736199999999998,232192.0,0.507783215896218,6206.0,66790.0,0.8360873266236042,290532.0,0.5142168393218395,53457.0,0.6155449363809086,1754320.0,0.911407030581116,57913.0,1.0715105091770278,5864.0,1.003422313483915,62.0,62.0,False,27056.0,0.0,1192816.0,125000.0,1159472.0,117000.0
space,23_-,1,0.05,7.0,0.0,345.0,539200.0,1551.0,1410.0,4668.0,6162.0,9610.0,136.0,524.0,8659.0,0.0,6766.0,1948752.0,130115.0,129876.0,459134.0,567272.0,73859.0,178854.0,224525.0,40218.0,61.0,0.0,3828.0,1695708.0,43255.0,43031.0,205674.0,257514.0,45568.0,0.0,0.460217,183658.0,0.4000095832589179,4260.0,58487.0,0.7918737053033482,231211.0,0.40758401613335404,44441.0,0.3421802334534479,1695708.0,0.8701507426291288,84927.0,0.887884078577328,5868.0,1.0034199726402189,61.0,61.0,False,46848.0,0.0,1502128.0,190000.0,1426256.0,164000.0
space,23_-,5,0.05,7.0,0.0,345.0,539200.0,1551.0,1410.0,4668.0,6162.0,9610.0,136.0,524.0,8659.0,0.0,6766.0,1948752.0,130115.0,129876.0,459134.0,567272.0,73859.0,178854.0,224525.0,43678.0,61.0,0.0,3830.0,1696324.0,48847.0,48580.0,205674.0,257514.0,45151.0,0.0,0.443928,183658.0,0.4000095832589179,8137.0,61947.0,0.8387197227149027,231211.0,0.40758401613335404,49990.0,0.38490560226677756,1696324.0,0.8704668423688596,91526.0,0.9568744707321408,5920.0,1.012311901504788,61.0,61.0,False,47008.0,0.0,1497264.0,191000.0,1425440.0,165000.0
space,23_-,10,0.05,7.0,0.0,345.0,539200.0,1551.0,1410.0,4668.0,6162.0,9610.0,136.0,524.0,8659.0,0.0,6766.0,1948752.0,130115.0,129876.0,459134.0,567272.0,73859.0,178854.0,224525.0,42272.0,61.0,0.0,3829.0,1695472.0,41478.0,41263.0,205674.0,257514.0,47241.0,0.0,0.434276,183658.0,0.4000095832589179,4641.0,60541.0,0.8196834508996872,231211.0,0.40758401613335404,42673.0,0.32856724876035603,1695472.0,0.870029639482089,86946.0,0.9089920649026147,5840.0,0.9986320109439124,61.0,61.0,False,46832.0,0.0,1514352.0,188000.0,1422800.0,172000.0
space,24_-,1,0.05,3.0,0.0,1534.0,622488.0,2038.0,1861.0,7916.0,10088.0,9789.0,136.0,520.0,8502.0,0.0,7216.0,2029964.0,122268.0,121996.0,459110.0,567227.0,75084.0,247128.0,308170.0,50060.0,73.0,0.0,6697.0,1842784.0,88209.0,87973.0,286262.0,355956.0,56291.0,0.0,0.286398,255180.0,0.5558145106837141,3558.0,68351.0,0.9103271003143146,318778.0,0.5619936991715838,89834.0,0.7363684055214925,1842784.0,0.9077914682230818,59879.0,0.9405767962049574,5812.0,0.9918088737201365,73.0,73.0,False,34016.0,0.0,1246976.0,148000.0,1180192.0,127000.0
space,24_-,5,0.05,3.0,0.0,1534.0,622488.0,2038.0,1861.0,7916.0,10088.0,9789.0,136.0,520.0,8502.0,0.0,7216.0,2029964.0,122268.0,121996.0,459110.0,567227.0,75084.0,247128.0,308170.0,50337.0,73.0,0.0,6690.0,1842400.0,81030.0,80830.0,286262.0,355956.0,55659.0,0.0,0.279061,255180.0,0.5558145106837141,4467.0,68628.0,0.914016301742049,318778.0,0.5619936991715838,82691.0,0.6778173054854257,1842400.0,0.9076023023068389,57530.0,0.9036788036819453,5820.0,0.9931740614334471,73.0,73.0,False,33808.0,0.0,1247840.0,148000.0,1184320.0,137000.0
space,24_-,10,0.05,3.0,0.0,1534.0,622488.0,2038.0,1861.0,7916.0,10088.0,9789.0,136.0,520.0,8502.0,0.0,7216.0,2029964.0,122268.0,121996.0,459110.0,567227.0,75084.0,247128.0,308170.0,50389.0,73.0,0.0,6691.0,1842204.0,80996.0,80732.0,286262.0,355956.0,55824.0,0.0,0.272079,255180.0,0.5558145106837141,4354.0,68680.0,0.9147088594107933,318778.0,0.5619936991715838,82593.0,0.6770140004590315,1842204.0,0.9075057488704233,62168.0,0.9765323112688888,5820.0,0.9931740614334471,73.0,73.0,False,34144.0,0.0,1250320.0,138000.0,1185520.0,123000.0
space,25_-,1,0.05,3.0,0.0,461.0,317312.0,1277.0,1173.0,6150.0,8148.0,20969.0,136.0,737.0,21378.0,0.0,5468.0,1924640.0,94370.0,94129.0,459110.0,567303.0,80792.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.824952,6286.0,0.01369170786957374,20969.0,42348.0,0.5241608080007921,8889.0,0.015668875362901305,1173.0,0.01246162181686834,317312.0,0.16486823509851192,2508.0,0.058294400669409385,5844.0,1.0089779005524862,51.0,0.0,False,59984.0,0.0,1113968.0,97000.0,,
space,25_-,5,0.05,3.0,0.0,461.0,317312.0,1277.0,1173.0,6150.0,8148.0,20969.0,136.0,737.0,21378.0,0.0,5468.0,1924640.0,94370.0,94129.0,459110.0,567303.0,80792.0,153008.0,193179.0,53739.0,51.0,0.0,4002.0,1665540.0,35362.0,35128.0,178958.0,224894.0,56160.0,0.0,0.795147,159294.0,0.3469626015551829,18548.0,96086.0,1.1893009208832557,202064.0,0.35618355623009224,36301.0,0.38565160577505336,1665540.0,0.8653774212320227,46338.0,1.0770518094972457,5844.0,1.0089779005524862,51.0,0.0,False,59024.0,1000.0,1118336.0,100000.0,1158064.0,105000.0
