,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,prune.profile.number,prune.profile.size,prune.profile.time,start,theta
27,bash,1_6,1,0.05,69.0,0.0,5832.0,7914.0,3664.0,1470436.0,10208.0,10022.0,159920.0,50556.0,120087.0,1458.0,4812.0,113671.0,0.0,6048.0,26176.0,7487.0,2303636.0,82735.0,82491.0,3395944.0,1019068.0,205569.0,860076.0,264192.0,146199.0,175.0,0.0,5896.0,15808.0,5247.0,1717136.0,30315.0,30106.0,0.0,0.0,0.0,0.0,0.050025
28,bash,1_6,5,0.05,69.0,0.0,5852.0,7897.0,3660.0,1471124.0,9889.0,9657.0,159920.0,50556.0,121592.0,0.0,0.0,0.0,0.0,5792.0,27678.0,7487.0,2779216.0,95769.0,95341.0,0.0,0.0,0.0,965714.0,295544.0,149342.0,184.0,0.0,5820.0,19062.0,6502.0,1716036.0,35698.0,35493.0,0.0,0.0,0.0,0.0,0.042526
29,bash,1_6,10,0.05,69.0,0.0,5900.0,6838.0,3659.0,1469300.0,9809.0,9611.0,159920.0,50556.0,119911.0,0.0,0.0,0.0,0.0,5820.0,24554.0,7487.0,2505192.0,84791.0,84532.0,0.0,0.0,0.0,965714.0,295544.0,149433.0,184.0,0.0,5788.0,20773.0,6503.0,1709792.0,34475.0,34258.0,0.0,0.0,0.0,0.0,0.037673000000000005
30,derby,5_61,1,0.05,30.0,0.0,5856.0,1595.0,121.0,161936.0,658.0,510.0,5836.0,2067.0,515506.0,28887.0,21876.0,581771.0,0.0,5836.0,1469.0,121.0,1754660.0,25528.0,25285.0,1390002.0,436658.0,1253201.0,0.0,0.0,0.0,0.0,0.0,5860.0,2612.0,118.0,160568.0,597.0,456.0,3442.0,1337.0,498530.0,0.0,0.048449
31,derby,5_61,5,0.05,30.0,0.0,5860.0,1581.0,121.0,162204.0,678.0,531.0,5836.0,2067.0,488669.0,0.0,0.0,0.0,0.0,5844.0,1399.0,121.0,1753992.0,25565.0,25321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5824.0,2417.0,121.0,160088.0,596.0,475.0,3582.0,1385.0,499764.0,0.0,0.033391000000000004
32,derby,5_61,10,0.05,30.0,0.0,5888.0,1679.0,121.0,162652.0,574.0,459.0,5836.0,2067.0,501274.0,0.0,0.0,0.0,0.0,5824.0,1522.0,121.0,1754192.0,25533.0,25307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5792.0,2191.0,121.0,161160.0,679.0,554.0,5836.0,2067.0,504845.0,0.0,0.025414
33,derby,5_8,1,0.05,675.0,0.0,5832.0,1533.0,1265.0,1414656.0,6778.0,6545.0,70620.0,19046.0,1421296.0,28887.0,15281.0,1528314.0,0.0,5892.0,1629.0,1780.0,1980248.0,38027.0,37756.0,1389978.0,377622.0,5679701.0,3768.0,1232.0,1348813.0,20.0,0.0,5804.0,1734.0,312.0,848772.0,1465.0,1280.0,13358.0,4051.0,1383580.0,0.0,0.103723
34,derby,5_8,5,0.05,675.0,0.0,5820.0,1861.0,1252.0,1413316.0,6506.0,6282.0,70620.0,19046.0,1392069.0,0.0,0.0,0.0,0.0,5824.0,1625.0,1780.0,1979764.0,37489.0,37223.0,0.0,0.0,0.0,3768.0,1232.0,1300685.0,20.0,0.0,5824.0,1798.0,302.0,751868.0,1596.0,1397.0,13288.0,4027.0,1342097.0,0.0,0.19253
35,derby,5_8,10,0.05,675.0,0.0,5804.0,1902.0,1247.0,1415944.0,6350.0,6150.0,70620.0,19046.0,1290753.0,0.0,0.0,0.0,0.0,5832.0,1539.0,1780.0,1980784.0,37060.0,36766.0,0.0,0.0,0.0,3768.0,1232.0,1334953.0,20.0,0.0,5980.0,1783.0,308.0,799644.0,1579.0,1416.0,13358.0,4051.0,1359692.0,0.0,0.186987
36,grep,1_3,1,0.05,4.0,0.0,5872.0,3883.0,3088.0,1169704.0,4395.0,4217.0,58328.0,49496.0,43708.0,123.0,393.0,15564.0,0.0,5812.0,523608.0,16782.0,2367536.0,200655.0,200404.0,1098644.0,890814.0,194916.0,456496.0,368721.0,59548.0,46.0,0.0,5764.0,223146.0,13671.0,1893492.0,95829.0,95634.0,559380.0,455222.0,99621.0,0.0,0.70934
37,grep,1_3,5,0.05,4.0,0.0,5828.0,5834.0,3088.0,1171100.0,4657.0,4459.0,58328.0,49496.0,42632.0,0.0,0.0,0.0,0.0,5780.0,509623.0,16782.0,2270208.0,212486.0,212207.0,0.0,0.0,0.0,456496.0,368721.0,60232.0,46.0,0.0,5744.0,226940.0,13668.0,1967184.0,107480.0,107167.0,559380.0,455221.0,103339.0,0.0,0.674643
38,grep,1_3,10,0.05,4.0,0.0,5848.0,4378.0,3089.0,1170300.0,4565.0,4368.0,58328.0,49496.0,41919.0,0.0,0.0,0.0,0.0,5820.0,517860.0,16782.0,2265768.0,174263.0,174010.0,0.0,0.0,0.0,456496.0,368721.0,60593.0,46.0,0.0,5744.0,226911.0,13666.0,1898900.0,117681.0,117446.0,559380.0,455219.0,103766.0,0.0,0.667572
39,grep,1_7,1,0.05,9.0,0.0,5824.0,13073.0,2817.0,1442492.0,5434.0,5252.0,65432.0,55458.0,34418.0,123.0,343.0,6194.0,0.0,5768.0,502545.0,10850.0,2397608.0,99249.0,99007.0,1098644.0,892528.0,178809.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.013722999999999999
40,grep,1_7,5,0.05,9.0,0.0,5800.0,19836.0,2817.0,1446720.0,6103.0,5917.0,65432.0,55458.0,40736.0,0.0,0.0,0.0,0.0,5760.0,585063.0,10856.0,2360692.0,117602.0,117342.0,0.0,0.0,0.0,453368.0,365883.0,52252.0,47.0,0.0,5772.0,523459.0,10551.0,1902764.0,80641.0,80388.0,570802.0,464589.0,114063.0,0.0,0.011251
41,grep,1_7,10,0.05,9.0,0.0,5792.0,13959.0,2817.0,1445128.0,5733.0,5548.0,65432.0,55458.0,40523.0,0.0,0.0,0.0,0.0,5748.0,530584.0,10849.0,2273724.0,106680.0,106485.0,0.0,0.0,0.0,453368.0,365883.0,49896.0,47.0,0.0,5892.0,495012.0,10557.0,1902976.0,74906.0,74706.0,570802.0,464589.0,103365.0,0.0,0.011251
42,grep,1_8,1,0.05,8.0,0.0,5804.0,10407.0,1801.0,1165560.0,4518.0,4285.0,60970.0,51966.0,41472.0,123.0,339.0,7865.0,0.0,5792.0,308605.0,7288.0,2155780.0,90031.0,89755.0,1098642.0,892558.0,204743.0,461342.0,372644.0,53455.0,48.0,0.0,5824.0,275834.0,7065.0,1860228.0,62095.0,61881.0,574398.0,467996.0,104947.0,0.0,0.020027
43,grep,1_8,5,0.05,8.0,0.0,5848.0,7157.0,1801.0,1165428.0,4018.0,3853.0,60970.0,51966.0,38203.0,0.0,0.0,0.0,0.0,5884.0,280686.0,7288.0,2157356.0,81454.0,81198.0,0.0,0.0,0.0,461342.0,372644.0,53073.0,48.0,0.0,5880.0,255825.0,7068.0,1857776.0,54040.0,53814.0,574398.0,467996.0,98785.0,0.0,0.018969999999999997
44,grep,1_8,10,0.05,8.0,0.0,5892.0,11072.0,1801.0,1165576.0,4821.0,4558.0,60970.0,51966.0,41513.0,0.0,0.0,0.0,0.0,5788.0,324892.0,7288.0,2317152.0,89312.0,89065.0,0.0,0.0,0.0,461342.0,372644.0,55617.0,48.0,0.0,5764.0,284607.0,7066.0,1859892.0,61921.0,61641.0,574398.0,467996.0,112021.0,0.0,0.017503
45,grep,3_12,1,0.05,13.0,0.0,5836.0,3184.0,1622.0,1519564.0,6575.0,6389.0,137694.0,0.0,0.0,131.0,352.0,5525.0,0.0,5824.0,14239.0,3866.0,2166908.0,67394.0,67115.0,1246878.0,1006422.0,173781.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6756770000000001
46,grep,3_12,5,0.05,13.0,0.0,5836.0,3032.0,1622.0,1520520.0,7559.0,7362.0,137694.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.0,15324.0,3865.0,2168492.0,69767.0,69519.0,0.0,0.0,0.0,182192.0,145408.0,23025.0,20.0,0.0,5844.0,15147.0,3683.0,1652748.0,21057.0,20844.0,338930.0,269947.0,36034.0,0.0,0.662301
47,grep,3_12,10,0.05,13.0,0.0,5824.0,2721.0,1622.0,1525448.0,8040.0,7870.0,137694.0,109709.0,21003.0,0.0,0.0,0.0,0.0,5816.0,15445.0,3865.0,2177256.0,77333.0,77098.0,0.0,0.0,0.0,182192.0,145408.0,25163.0,20.0,0.0,5804.0,15794.0,3679.0,1653692.0,20764.0,20551.0,338930.0,269947.0,37004.0,0.0,0.651664
48,grep,4_10,1,0.05,8.0,0.0,5820.0,2759.0,1889.0,1591256.0,14512.0,14223.0,288798.0,230268.0,34133.0,131.0,356.0,7301.0,0.0,5840.0,2457.0,2925.0,2937452.0,122713.0,122316.0,2545716.0,2062050.0,440567.0,163536.0,129528.0,23111.0,11.0,0.0,5860.0,3053.0,2820.0,1698120.0,21696.0,21409.0,447640.0,355796.0,48244.0,0.0,0.376762
49,grep,4_10,5,0.05,8.0,0.0,5812.0,1717.0,1909.0,1594408.0,13224.0,13022.0,288798.0,230268.0,33940.0,0.0,0.0,0.0,0.0,5796.0,2225.0,2925.0,3025916.0,147054.0,146794.0,0.0,0.0,0.0,163536.0,129528.0,22698.0,11.0,0.0,5828.0,2880.0,2799.0,1696120.0,19312.0,19147.0,447640.0,355796.0,47169.0,0.0,0.34547100000000003
50,grep,4_10,10,0.05,8.0,0.0,5860.0,1620.0,1912.0,1593452.0,13539.0,13289.0,288798.0,230268.0,35781.0,0.0,0.0,0.0,0.0,5844.0,2227.0,2925.0,3107420.0,131234.0,130824.0,0.0,0.0,0.0,163536.0,129528.0,24409.0,11.0,0.0,5792.0,2286.0,2785.0,1693992.0,19423.0,19227.0,447640.0,355796.0,49672.0,0.0,0.341078
51,grep,4_12,1,0.05,13.0,0.0,5888.0,3977.0,2467.0,1640332.0,14414.0,14224.0,352780.0,280217.0,26791.0,131.0,352.0,6377.0,0.0,5796.0,17860.0,4860.0,2967408.0,118099.0,117784.0,2545716.0,2050906.0,343702.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.6756770000000001
52,grep,4_12,5,0.05,13.0,0.0,5864.0,4179.0,2467.0,1639856.0,16257.0,16035.0,352780.0,280217.0,39561.0,0.0,0.0,0.0,0.0,5860.0,22830.0,4863.0,2968920.0,133947.0,133583.0,0.0,0.0,0.0,432972.0,344191.0,47876.0,20.0,0.0,5864.0,20197.0,4759.0,1910552.0,46290.0,46069.0,788236.0,626120.0,71629.0,0.0,0.662301
