,pid,bid,top-k,boost,boost.functions.count,boost.includes,boost.mine.size,boost.mine.time,boost.preprocess.number,boost.preprocess.size,boost.preprocess.time,boost.preprocess.time_p,boost.profile.number,boost.profile.size,boost.profile.time,coarse-grained.profile.number,coarse-grained.profile.size,coarse-grained.profile.time,end,fine-grained.mine.size,fine-grained.mine.time,fine-grained.preprocess.number,fine-grained.preprocess.size,fine-grained.preprocess.time,fine-grained.preprocess.time_p,fine-grained.profile.number,fine-grained.profile.size,fine-grained.profile.time,prune-minus-boost.profile.number,prune-minus-boost.profile.size,prune-minus-boost.profile.time,prune.functions.count,prune.includes,prune.mine.size,prune.mine.time,prune.preprocess.number,prune.preprocess.size,prune.preprocess.time,prune.preprocess.time_p,start,theta
38,gzip,2_3,10,0.05,14.0,0.0,5800.0,2857.0,913.0,751420.0,4054.0,3887.0,248164.0,54440.0,20741.0,0.0,0.0,0.0,0.0,5248.0,561498.0,42282.0,2741332.0,139930.0,139579.0,0.0,0.0,0.0,1403940.0,330400.0,603765.0,45.0,0.0,5684.0,555086.0,41822.0,1893848.0,150540.0,150285.0,0.0,0.307131
39,gzip,5_1,1,0.05,4.0,0.0,5792.0,1632.0,5440.0,956176.0,4093.0,3935.0,206652.0,56356.0,233175.0,97.0,864.0,13380.0,0.0,5748.0,182513.0,27110.0,2929980.0,127472.0,127141.0,4005694.0,876348.0,464482.0,1164658.0,264492.0,135583.0,32.0,0.0,5912.0,125811.0,21946.0,1893532.0,43151.0,42908.0,0.0,0.678677
40,gzip,5_1,5,0.05,4.0,0.0,5856.0,1511.0,5440.0,969588.0,4154.0,4000.0,206652.0,56356.0,226265.0,0.0,0.0,0.0,0.0,5872.0,159416.0,27110.0,2656812.0,86019.0,85745.0,0.0,0.0,0.0,1192930.0,270448.0,142117.0,33.0,0.0,5804.0,114907.0,21987.0,1759640.0,42741.0,42504.0,0.0,0.541992
41,gzip,5_1,10,0.05,4.0,0.0,5868.0,1600.0,5440.0,970780.0,3988.0,3834.0,206652.0,56356.0,226598.0,0.0,0.0,0.0,0.0,5896.0,143651.0,27110.0,2674860.0,89428.0,89117.0,0.0,0.0,0.0,1192930.0,270448.0,136741.0,33.0,0.0,5824.0,108609.0,21984.0,1779092.0,40352.0,0.0,0.0,0.523818
42,gzip,5_13,1,0.05,16.0,0.0,5856.0,2195.0,1237.0,738892.0,4075.0,3926.0,261598.0,57128.0,20794.0,97.0,864.0,13397.0,0.0,5748.0,823137.0,32277.0,2979716.0,129550.0,129124.0,4005694.0,878136.0,668998.0,1291204.0,306640.0,538158.0,46.0,0.0,5772.0,756800.0,31949.0,1866392.0,60421.0,60184.0,0.0,0.106792
43,gzip,5_13,5,0.05,16.0,0.0,5840.0,2184.0,1237.0,738520.0,4284.0,4114.0,261598.0,57128.0,21159.0,0.0,0.0,0.0,0.0,5852.0,795670.0,32277.0,2655784.0,110518.0,110175.0,0.0,0.0,0.0,1291204.0,306640.0,548867.0,46.0,0.0,5772.0,679022.0,31949.0,1865596.0,63578.0,0.0,0.0,0.091557
44,gzip,5_13,10,0.05,16.0,0.0,5832.0,2099.0,1237.0,742272.0,3930.0,3792.0,261598.0,57128.0,19920.0,0.0,0.0,0.0,0.0,5820.0,769922.0,32277.0,2790320.0,124289.0,123974.0,0.0,0.0,0.0,1291204.0,306640.0,553170.0,46.0,0.0,5788.0,754181.0,31949.0,1867964.0,64763.0,0.0,0.0,0.084
45,nanoxml,1_1,1,0.05,10.0,0.0,5832.0,1686.0,15.0,58124.0,343.0,260.0,232.0,952.0,62116.0,494.0,952.0,72633.0,0.0,5852.0,6151.0,74.0,96684.0,629.0,537.0,4234.0,1892.0,72904.0,390.0,952.0,71390.0,24.0,0.0,5800.0,3270.0,49.0,59996.0,510.0,411.0,0.0,0.713335
46,nanoxml,1_1,5,0.05,10.0,0.0,5832.0,2471.0,15.0,58472.0,328.0,251.0,232.0,952.0,60535.0,0.0,0.0,0.0,0.0,5828.0,1989.0,74.0,97132.0,643.0,545.0,0.0,0.0,0.0,828.0,952.0,75444.0,29.0,0.0,5848.0,6108.0,71.0,90648.0,721.0,0.0,0.0,0.62429
47,nanoxml,1_1,10,0.05,10.0,0.0,5852.0,7690.0,15.0,58236.0,322.0,228.0,232.0,952.0,64676.0,0.0,0.0,0.0,0.0,5788.0,1572.0,74.0,97012.0,762.0,671.0,0.0,0.0,0.0,828.0,952.0,64884.0,29.0,0.0,5864.0,1578.0,71.0,91144.0,520.0,0.0,0.0,0.552022
